Math Item #,Math,Marine,Marine Item #,Explanation,Lecture #,Exam,Date,# Math Items,# New Math Items,# Marine Items,# New Marine Items,,,,,,,,,,,,,,,,,,
33,network,kelp forest,34,"food web of kelp forest, nice image",,,,,,,,,,,,,,,,,,,,,,,,,
33,network,food web,36,"food web of kelp forest, nice image",,,,,,,,,,,,,,,,,,,,,,,,,
34,diffusion,osmosis,37,water uptake by mangroves in saltwater,,,,,,,,,,,,,,,,,,,,,,,,,
34,diffusion,reverse osmosis,37,"active transport of salt in mangrove leaves, high energy cost",,,,,,,,,,,,,,,,,,,,,,,,,
35,cross section,fish,38,diagram of fish in lecture,8,2,10/3/2017,2,1,2,1,,,,,,,,,,,,,,,,,,
9,3D,fish,38,diagram of fish in lecture,,,,,,,,,,,,,,,,,,,,,,,,,
35,cross section,form/function,27,manuverers vs. ambushers vs. etc.,,,,,,,,,,,,,,,,,,,,,,,,,
9,3D,form/function,27,manuverers vs. ambushers vs. etc.,,,,,,,,,,,,,,,,,,,,,,,,,
34,diffusion,whales,39,gas exchange in whale trachea/solubility of gases,9,2,10/11/2017,6,3,3,3,,,,,,,,,,,,,,,,,,
36,quantity comparison,body size,40,"which is bigger/longer/heavier/etc,",,,,,,,,,,,,,,,,,,,,,,,,,
37,density accumulation,whales,39,"trolling in Calc II, also called continuous ram feeding",,,,,,,,,,,,,,,,,,,,,,,,,
4,optimization,physiology,41,evolutionary tradeoffs,,,,,,,,,,,,,,,,,,,,,,,,,
38,objective function,physiology,41,evolutionary tradeoffs,,,,,,,,,,,,,,,,,,,,,,,,,
8,proportional to,marine mammals,39,"PV=nRT, volume vs. pressure breathing tradeoffs",,,,,,,,,,,,,,,,,,,,,,,,,
22,symmetry,bivalves,42,comparing/contrasting,10,2,10/18/2017,2,0,2,2,,,,,,,,,,,,,,,,,,
13,proportion,shell,43,"form & function, increasing depth & pressure would crush shell",,,,,,,,,,,,,,,,,,,,,,,,,
5,limits,limiting factor,44,"Blackman's law of limiting factor (1914)/Liebig's law of the minimum (1828), may be nutrients, light, space, etc.",11,3,10/25/2017,9,7,6,5,,,,,,,,,,,,,,,,,,
39,surface area,photosynthesis,45,"carbon dioxide, inorganic, deep vs. shallow water form/function",,,,,,,,,,,,,,,,,,,,,,,,,
40,plasticity,photosynthesis,45,"carbon dioxide, inorganic, deep vs. shallow water form/function",,,,,,,,,,,,,,,,,,,,,,,,,
41,interaction,ecology,46,"predator-prey, competition, mutualism",,,,,,,,,,,,,,,,,,,,,,,,,
42,graph,food web,36,"trophic levels/ecology lecture, baleen, killer whale, etc.",,,,,,,,,,,,,,,,,,,,,,,,,
43,conservative systems,energy transfer,47,"energy & matter, food webs, loss of energy up webs",,,,,,,,,,,,,,,,,,,,,,,,,
20,exponential growth,energetics,47,"form/function, 3 trophic levels can support bigger animals, loses less energy, lose ~90% each level, biggest animals are herbivores/sustainability, krill vs. killer whales",,,,,,,,,,,,,,,,,,,,,,,,,
